counterparty_id,counterparty_name,domicile,lei_code,onboarded_date,relationship_manager,credit_limit_usd,internal_rating,_true_a_id,_match_type
CP-000279,Harper and Sons,CA,,2012-06-06,Tiffany Jackson,44633750,2A,ENT-000452,matched
CP-000430,Wagner L.L.C. GmbH,JP,,2020-01-05,Karen Fernandez,23255666,1A,ENT-000724,matched
CP-000230,Durham-Shaw & Ptrs,CA,LT9900I7ZFCTYVOF7040,2023-07-21,Pamela Hill,65492698,1A,ENT-000996,matched
CP-000147,Thompson-James AB,SE,N2TN00XHN5E0EV6XGZ22,2012-06-18,Michael Sims,24463479,3B,ENT-000401,matched
CP-000778,Fernandez,DK,,2018-01-08,Sharon Young,16635987,1B,ENT-000350,ambiguous
CP-000942,Mack-Gould Holdings,DK,,2016-04-27,Brittney Cordova,40733896,2A,,unmatched
CP-000643,Burch-Montoya ltd.,IE,CB0I00XRYLI172D50N63,2013-06-25,Dr. Katherine Nguyen,23259530,2A,ENT-000461,matched
CP-000727,"Morales,",BE,,2016-10-28,April Randolph,6419628,NR,ENT-000386,ambiguous
CP-000966,Maxwell-Jenkins AG,ES,,2020-05-16,Carla Robinson,81640617,1B,,unmatched
CP-000164,"Price, Carlson and Andrews Ptrs",JP,8HYF0087SW1K9M94UZ95,2020-10-11,Mary Nelson,13371722,NR,ENT-000830,matched
CP-000762,Mckinney-Wallace,HK,,2021-06-24,Timothy Andrews,75969843,NR,ENT-000838,ambiguous
CP-000176,Figueroa Incorporated LLC,AU,FV1400J643F1AYSV6O17,2018-02-24,John Garcia,38083040,2B,ENT-000710,matched
CP-000861,Scott,US,,2013-12-27,Mark Benjamin,40416208,3B,ENT-000476,ambiguous
CP-000051,cook-oliver ab,SE,,2014-04-14,Christina Johnson,45508437,2A,ENT-000777,matched
CP-000885,Werner-Carter Holdings,JP,,2014-02-19,Brenda Copeland,24565088,2B,ENT-000855,ambiguous
CP-000496,"Miller, Harrell and Reese GRP",SE,,2013-06-26,Crystal Hernandez,89945623,3B,ENT-000412,matched
CP-000314,Garcia and Sons,US,,2014-06-29,Eugene Patterson,93321937,1B,ENT-000800,matched
CP-000937,Bryant-Jackson Holdings,CH,,2010-04-09,Michelle Mitchell,45306442,1A,,unmatched
CP-000932,"Johnson, Butler and Fleming Inc",ES,,2012-03-08,Kara Fisher,52676813,1B,,unmatched
CP-000183,"mccarthy, evans and mendez srl",IT,8EAK008YE71TWD96HH89,2010-12-17,James Rivers,11240488,2A,ENT-000826,matched
CP-000506,Landry LTD &,AT,TAF600BLBV0XT9VYSK26,2017-10-13,Emily Morris,31470393,1B,ENT-000720,matched
CP-000465,Alexander Incorporated GmbH,JP,OV9C00PWRUTVLYJMWU61,2012-04-15,Brian Brown,1363412,2B,ENT-000875,matched
CP-000324,"Rodriguez, Allen and",HK,,2013-02-10,Kevin Escobar,88334692,2B,ENT-000560,matched
CP-000433,Garcia L.L.C. AB,NO,UGUR009U1OE5EI28DS53,2022-05-05,Michael Smith,99452266,1B,ENT-000188,matched
CP-000838,Dudley,BE,,2015-02-20,Scott Anderson,18163312,2B,ENT-000011,ambiguous
CP-000695,Williamson Limited Partners,ES,8O8G008HZMVYD47DZN13,2016-01-05,Katherine White,69914700,1A,ENT-000725,matched
CP-000318,Benton Grp SAS,DK,,2019-05-26,Ian Torres,1296331,1A,ENT-000787,matched
CP-000458,Davis P.L.C. BV,BE,8G9X00IB86KTFRL69V75,2023-06-03,Christopher Perez,30037828,2A,ENT-000387,matched
CP-000715,Lopez,IE,,2013-02-25,Kurt Hancock,23485052,1A,ENT-000815,ambiguous
CP-000126,Pearson and Sons ltd.,IE,Y9RM00JR211PV58Y9N72,2013-07-15,Catherine Davis,49724581,NR,ENT-000622,matched
CP-000729,"Mueller,",NO,,2011-12-12,Angel Meyer,76786210,2A,ENT-000945,ambiguous
CP-000050,"Bernard, Warren and Combs GRP",IE,,2020-04-28,Edward Stanley,68689619,3A,ENT-000719,matched
CP-000087,"Fernandez, Kim and George Cap.",CH,4MPK005EAXF5X9EE3499,2011-05-29,Debra Butler,61561144,2A,ENT-000244,matched
CP-000780,Williams-Brown,JP,,2019-02-16,James Gardner,72529146,3B,ENT-000218,ambiguous
CP-000457,Lyons-Bender grp.,GB,S44C0068AU9DKBPVWZ61,2023-04-27,Laura Sweeney,15349120,3B,ENT-000243,matched
CP-000224,Burgess-Thompson A.G.,DE,,2012-12-09,Tina Taylor,3649093,2A,ENT-000317,matched
CP-000061,"Miller, Ramos and",GB,,2019-07-25,Jennifer Nichols,68870227,2A,ENT-000393,matched
CP-000811,Barber-Fischer,HK,,2016-12-12,Kevin Hernandez,76252984,2A,ENT-000882,ambiguous
CP-000887,"Brooks, Lam",SE,,2019-06-12,Bryan Thomas,76815884,NR,ENT-000050,ambiguous
CP-000036,Pollard and Sons ag,CH,VGLL0042JZNTMFEK2O30,2020-01-07,Joshua Garcia,78070429,2A,ENT-000278,matched
CP-000805,"Phillips,",NL,,2020-10-11,Amy Kennedy,4687918,1A,ENT-000308,ambiguous
CP-000859,Gonzales-Harrison,IE,,2018-08-24,Karen Bradley,17586697,2A,ENT-000242,ambiguous
CP-000262,Jones-Young AB,ES,,2019-11-21,Brittney Hernandez,78524329,NR,ENT-000055,matched
CP-000834,Lewis-Murphy AB,DK,,2021-05-21,Daniel Campbell,66324539,1B,ENT-000173,ambiguous
CP-000371,"Hill, Martinez and Rhodes",NL,NLZT00WXOL4BKUU5CZ26,2016-10-25,Kevin Figueroa,34077489,2A,ENT-000607,matched
CP-000331,Cooper LTD NV,NL,,2014-07-03,Jose Griffin,1826506,1A,ENT-000489,matched
CP-000300,"Cox, Stark and Rodriguez S.A.S",ES,,2015-09-21,Kristen Peters,42600820,1A,ENT-000652,matched
CP-000156,Blake Group L.L.C.,US,,2012-04-29,Nicholas Lawrence,53848388,1A,ENT-000474,matched
CP-000078,"Harris, Collins and Carney",DK,,2019-02-01,James Washington,38837319,3B,ENT-000049,matched
CP-000423,Li plc NV,IE,,2015-09-15,Brittney Rodriguez,36897675,2A,ENT-000564,matched
CP-000823,Salazar Inc,CH,,2016-09-03,Alexandra Ho,49300732,2A,ENT-000534,ambiguous
CP-000263,Strickland-Palmer A.G.,CA,7M4200O34OGWPNXZDZ15,2011-08-21,Anthony Randolph,17681235,3A,ENT-000355,matched
CP-000904,Garcia Inc Partners,HK,,2014-09-02,Casey Floyd,6874455,1B,,unmatched
CP-000690,"Kennedy, Johnson and Lucas saS",FR,LCQF00MUIW7J35VLWO42,2011-01-08,Victoria Webb,65739148,1A,ENT-000498,matched
CP-000222,"Huang, Cole and Pacheco Corp",AU,66YA006BA24S0LGUPU60,2011-01-13,Timothy Monroe,37618437,1A,ENT-000430,matched
CP-000770,Foster-Mclaughlin,IE,,2019-03-11,Jean Lane,73632711,2B,ENT-000816,ambiguous
CP-000396,Howell and Sons AB,NO,MYLR00Q1RDXCK36H0W19,2017-01-05,Regina Mitchell,91940242,1B,ENT-000179,matched
CP-000239,Lam LLC Incorporated,AU,NCHK00V9DT94G8V9ZY98,2020-07-24,John Duncan,87086860,NR,ENT-000361,matched
CP-000509,Smith llc GmbH,CH,,2013-12-26,Stephen Boyer,68871458,3B,ENT-000762,matched
CP-000705,Haynes-Moss Group,DK,,2010-05-07,Michael Hendricks,30898681,2A,ENT-000961,ambiguous
CP-000375,Jones Inc P.L.C.,HK,BAYK00IS11D2MRMTXJ68,2021-02-03,Colin Fletcher,29068791,2B,ENT-000449,matched
CP-000139,Reed Grp AB,DK,1RYZ00TBVHUAZUN6FH78,2015-06-29,Katherine Welch,3203305,2B,ENT-000611,matched
CP-000847,Brown Group,LU,,2012-10-31,John Mcfarland,32080720,1B,ENT-000494,ambiguous
CP-000908,Richards-Brown Partners,JP,,2016-09-16,Daniel Lynch,45853342,2B,,unmatched
CP-000740,"Winters, Newman",LU,,2014-09-07,Anthony Simmons,32187136,2B,ENT-000341,ambiguous
CP-000732,"Rivera,",DE,,2017-08-08,Donald Flores,81019608,2B,ENT-000500,ambiguous
CP-000917,"Mullins, Steele and Russell & Co",DE,FLUN003YPQ5LYYP6S085,2010-11-07,Ian Allen,14770573,1A,,unmatched
CP-000921,"Cook, Johnson and Simmons Capital",US,,2017-06-29,Tracy Daniels,53821952,NR,,unmatched
CP-000253,Reyes GRP Group,DK,8UEN00O88UOGMVV6V385,2017-12-02,David Oliver,22067075,3B,ENT-000985,matched
CP-000801,"Ochoa, Taylor",SE,,2022-05-08,Jose Harrison,71239955,3B,ENT-000857,ambiguous
CP-000128,Baker-Wilson Grp,DK,EUBY00GS0JX9AMSM5R44,2019-01-26,Catherine Frazier,78161689,3B,ENT-000967,matched
CP-000238,Johnson Inc ltd.,GB,AFSU00MUXQJCTPVEV624,2021-03-11,Erica Wilson,57532865,2B,ENT-000979,matched
CP-000281,"Suarez, Shields and Hill SRL",CA,K79U00FU6PY06FTLO467,2010-10-20,Michael Ayala,38464963,2A,ENT-000271,matched
CP-000231,"Tanner, Wise and",GB,,2012-03-25,Tracy Chavez,50670940,1B,ENT-000927,matched
CP-000652,"Parker, Ortiz and Powell AB",SG,,2018-11-11,Eddie Sanders,93618072,NR,ENT-000130,matched
CP-000413,"burns, hernandez and ryan corp",SG,,2016-09-16,Austin Schultz,33484189,2B,ENT-000275,matched
CP-000768,Mcdonald-Bird NV,NL,,2010-04-04,Stephanie Fields,58333482,2B,ENT-000533,ambiguous
CP-000803,Castillo-Harrington,SE,,2010-12-11,Donna Johnson,30793565,3B,ENT-000995,ambiguous
CP-000175,"Miller, Murphy and Craig nv",IT,GX2500FPLO1URTTQUF17,2013-12-08,David Hinton,88145225,2B,ENT-000288,matched
CP-000494,Davis and Sons,DK,E6RP00KZGGM0J36TCF47,2015-04-07,Joseph Lopez,58334321,2A,ENT-000207,matched
CP-000079,Crosby-Ramirez Hldgs,DK,CUA0009PCIFLWDR3VW52,2013-05-26,Amanda Hill,57109298,NR,ENT-000338,matched
CP-000718,Yu Inc,IE,,2018-03-25,Jesse Sampson,37190318,3A,ENT-000077,ambiguous
CP-000135,Peck-Anderson AB,NO,931K0026GFXAMHV1F095,2022-12-16,Edwin Brown,3607673,2B,ENT-000908,matched
CP-000218,Arnold Ltd plc,HK,,2018-08-14,Mitchell Griffith,23469610,NR,ENT-000012,matched
CP-000997,Johnson-Thompson Group,GB,IB0T00A6YY5XHQ3U9128,2022-07-26,Peggy Dyer,4144767,NR,,unmatched
CP-000359,"Adkins, Wright and Murray",NO,811I00D07T3LJOKBZV97,2016-01-19,Matthew Baker,79874433,3B,ENT-000974,matched
CP-000290,Burton-Brooks Corp.,ES,G6UA00COTFVAN0FVEL62,2019-11-02,Kimberly May,47914776,3A,ENT-000862,matched
CP-000944,"Estrada, Marsh and Chandler AB",DK,,2012-09-22,Gina Rodriguez,81205461,NR,,unmatched
CP-000845,"Sparks, Jackson",SG,,2011-08-27,Janet Cook,76799698,1B,ENT-000298,ambiguous
CP-000929,"Richardson, Nunez and Steele Corp",LU,,2012-06-01,Sonya Lopez,49918487,2A,,unmatched
CP-000662,Salazar Incorporated AG,CH,RKXJ00TMYSWE1GA6SR32,2012-04-01,Becky Wilson,57739002,2A,ENT-000534,matched
CP-000464,Parsons-Hall ag,DE,ZL0100Q3M73HC9JYPA60,2017-07-13,Mercedes Miller,56137099,2A,ENT-000311,matched
CP-000340,Brooks-Hatfield N.V.,NL,,2011-08-27,Carrie Valdez,11948331,1A,ENT-000577,matched
CP-000296,Aguirre LLC P.L.C.,GB,,2017-07-08,Brandy Myers,75202612,1A,ENT-000968,matched
CP-000804,Hayes,DK,,2013-10-14,Nicole Acosta,16520638,1B,ENT-000525,ambiguous
CP-000187,Jones plc BV,LU,,2020-11-24,Caitlin Perry,18296649,3A,ENT-000892,matched
CP-000502,berry-mckinney corp,SG,31FI000N6DGG5GR0XA30,2014-01-07,Randy Wright,51846772,NR,ENT-000406,matched
CP-000212,"Carter, Garcia and Murphy LTD",AU,DPJH00SG04AJMMUZUQ24,2018-12-09,Jesse Castro,82773451,3A,ENT-000506,matched
CP-000949,"Ward, Hernandez and Nash GmbH",AT,8HCD001SD44WL8MDZF91,2012-08-06,Jake Mitchell,59818067,NR,,unmatched
CP-000954,Perry-Peters SAS,FR,,2018-11-20,Nicole Taylor,5126701,2B,,unmatched
CP-000345,Perry-Davis bv,BE,,2020-09-26,Christopher Jones,53535899,NR,ENT-000368,matched
CP-000670,"Jackson, Miller and",LU,,2020-03-15,Autumn Anderson,30797766,NR,ENT-000137,matched
CP-000819,"Ross,",HK,,2021-10-27,Audrey Jackson,65553720,2A,ENT-000028,ambiguous
CP-000615,Blake Grp AG,IE,,2021-07-19,Lori Johns,75109456,2B,ENT-000951,matched
CP-000510,Green llc SA,JP,GMP900A9URI7EV4DH983,2021-08-09,Brian Chen,72416237,3A,ENT-000522,matched
CP-000040,Robertson-Hays grp.,CH,SHWZ00SJQ77Z4ES3AO29,2016-10-14,Angela Jackson,49706051,3A,ENT-000497,matched
CP-000742,Higgins-Smith Group,ES,,2019-01-21,Melissa Jensen,61505294,2B,ENT-000633,ambiguous
CP-000649,Marshall-Petersen Cap.,SE,,2012-05-04,Amanda Forbes,46528671,2A,ENT-000196,matched
CP-000522,"Anderson, Jones and Reyes Hldg",DE,PNF300VCLHOVU5WP8M88,2010-05-15,Mr. Edward Terry,54939082,3B,ENT-000888,matched
CP-000077,Kim inc SA,JP,,2016-06-15,Joseph Cooper,3566904,3B,ENT-000410,matched
CP-000760,"Gallegos, Adams",CH,,2016-07-03,Jessica Cobb,90510526,3B,ENT-000383,ambiguous
CP-000753,"Reyes,",AT,,2017-09-22,Christopher Tate,52044504,1A,ENT-000279,ambiguous
CP-000602,Newton and,HK,1NTM00JSRD9Q46NOUH28,2010-09-07,Christopher Campbell,71111665,1B,ENT-000093,matched
CP-000354,Erickson and Sons GRP,HK,,2021-12-08,Kristy Smith,3406687,2A,ENT-000217,matched
CP-000864,Miller-Montgomery Partners,CA,,2016-08-30,Cassandra Williams,25771737,3B,ENT-000758,ambiguous
CP-000085,Atkins plc Capital,CA,C33H008G8T922D0NX591,2012-02-08,Annette Melton,63766579,NR,ENT-000405,matched
CP-000647,Dunn-Wilson plc,GB,,2016-09-23,Kelly Liu,74396059,1A,ENT-000843,matched
CP-000698,"Whitney, Gould and Jones Hldg",IT,QUPO004JNMYK8516SP44,2014-01-26,Ryan Marsh,89943797,2B,ENT-000511,matched
CP-000898,Medina-Navarro,HK,,2019-01-12,Lori Patton,43646572,1A,ENT-000165,ambiguous
CP-000560,Collier-Gillespie B.V.,CA,5N5300EGDD8MWE776V32,2011-07-29,Eric Walker,8143668,3B,ENT-000409,matched
CP-000491,Gray-Mayo Plc,IE,31YI00HAIR4COWGZRI93,2015-01-29,Catherine Roberts,94939914,2A,ENT-000020,matched
CP-000771,"Moore,",BE,,2019-12-07,Michael Stewart,59250727,2B,ENT-000791,ambiguous
CP-000963,"Mayer, Palmer and Miranda & Partners",AU,,2013-06-01,Brandon Goodwin,26416891,NR,,unmatched
CP-000788,"Holmes, Williams",US,,2012-12-05,Christopher Hicks,25699238,2A,ENT-000147,ambiguous
CP-000161,Allen Incorporated Holdings,NO,AQC600CQKO5FKPA2TV54,2017-05-20,Jennifer James,40682530,3A,ENT-000677,matched
CP-000027,Ward-Nelson Hldg,NO,,2013-09-19,Tracy Walker,61739037,2B,ENT-000763,matched
CP-000741,Andrade-Mendoza Holdings,JP,,2022-07-13,Kyle Watkins,34844624,1A,ENT-000990,ambiguous
CP-000389,"Mueller, Knight and Hodge",DK,,2021-01-09,Vincent Smith,83374119,NR,ENT-000740,matched
CP-000779,Anderson-Bailey Group,SE,,2013-11-13,Jennifer Flores,25256609,3B,ENT-000087,ambiguous
CP-000679,Jones Incorporated BV,NL,,2016-10-09,Sara Evans,59697985,1A,ENT-000078,matched
CP-000673,Faulkner-Casey Plc,GB,16A300KL0N4L6BP6OJ19,2020-12-10,Stephen Young,41576044,1A,ENT-000782,matched
CP-000334,Moore grp. Holdings,CA,JUL700W8COF3138I2X60,2015-03-05,Daniel Freeman,45186729,3B,ENT-000555,matched
CP-000734,Chavez PLC,CH,,2010-08-08,Adrian Dean,25902765,1A,ENT-000657,ambiguous
CP-000261,Lewis ltd. Ltd,IE,,2021-01-15,Dawn Rivera,24168341,3A,ENT-000742,matched
CP-000074,Harrison-Alexander & Ptnrs,JP,,2021-07-09,Jason Hernandez,89274845,1A,ENT-000221,matched
CP-000484,Fox-Edwards AB,IE,CJ4Q000RR1L9GVBMQQ61,2017-02-20,Adam Brooks,31473954,1A,ENT-000599,matched
CP-000286,Williams-Brown P.L.C.,JP,YN6S00JCHZJQ8CXX6M23,2020-02-10,Brandon Brown,73774105,2A,ENT-000218,matched
CP-000404,"Sanders, Ayala and Johnson sa",FR,R8RU00I31PHYSVKUEV11,2010-09-24,Destiny Obrien,95700191,2A,ENT-000754,matched
CP-000021,Sandoval-Cunningham ag,DE,PJRH00T7ZEWVIYTWBO70,2016-05-29,Melissa Mcfarland,71583072,2B,ENT-000081,matched
CP-000213,"Walters, Davenport and Becker Ptrs",LU,JUZ500PFBCE5Z3ZTDS27,2016-10-04,Kara Sandoval,61817603,NR,ENT-000918,matched
CP-000468,Harrell LLC Ltd,JP,BSV5005PSQ0OXFQ8MY93,2019-04-18,Christopher Pena,13972173,2B,ENT-000038,matched
CP-000081,"Robinson, Jones and Welch G.m.b.H.",CH,TIUY00MO0PQCLPOXKO51,2019-04-27,Steve Rivera,55647743,2B,ENT-000053,matched
CP-000043,Thomas and Sons Corp,ES,6GH700IDUB9RBDL91874,2015-05-03,Karen Johnson,79782088,2B,ENT-000417,matched
CP-000245,Henderson-Bernard bv,CA,DXVU00GW6M7B5C81JH83,2021-07-01,Ryan Vaughn,49443037,2B,ENT-000072,matched
CP-000666,Lee GRP AG,IT,MGRA00EJPFAWXD0DL783,2022-01-17,Susan Cunningham,63283078,3B,ENT-000836,matched
CP-000114,Johnson-Carlson N.V.,BE,Z1PO00XTFDC79FLV1X92,2010-09-16,Arthur Mcneil,42984727,1B,ENT-000121,matched
CP-000424,miller-wright corp,CA,KFK700Y6QXDSGV6TOL13,2018-06-18,Megan Alvarado,99743409,NR,ENT-000226,matched
CP-000993,Reyes Ltd Limited,AU,RHO700AZP8OX5DF8K436,2014-08-31,Eric Hanson,4210982,NR,,unmatched
CP-000057,"Hall, Baker and Moody",CH,AWSH00MLFZKICWMPEQ96,2015-02-02,Derrick Brown,87096788,NR,ENT-000237,matched
CP-000537,Gibson-Morris S.A.,AU,RYES00U4FCL5EFJP6M47,2018-08-23,Kelly Miles,26388199,2A,ENT-000277,matched
CP-000793,Andersen Group,LU,,2015-12-11,Laura Bush,34165587,3A,ENT-000663,ambiguous
CP-000385,Lewis-Livingston B.V.,BE,,2015-06-03,Mary Adkins,75560982,1A,ENT-000912,matched
CP-000441,Wilson-Jones LTD,GB,5OOP00767J2DG1WJUI39,2016-10-25,David Reynolds,48660924,2A,ENT-000223,matched
CP-000799,Harrison-Alexander &,JP,,2016-10-15,Rebecca Edwards,17818376,2A,ENT-000221,ambiguous
CP-000080,"Proctor, Burton and",LU,,2012-08-12,Lee Steele,74970708,1B,ENT-000929,matched
CP-000305,Armstrong-Andrews LTD,GB,9EN700DLBQZRWJXLBW67,2016-07-24,Daniel Davenport,18918473,2A,ENT-000307,matched
CP-000829,Powell LLC,BE,,2022-10-23,Raymond Curry,60137802,2A,ENT-000061,ambiguous
CP-000943,"Cantrell, Rivera and Thornton PLC",JP,2JTJ00TO0IQQKB745614,2013-06-03,Dylan Raymond,51137503,3B,,unmatched
CP-000548,Nelson-Brown LTD,IE,,2023-07-31,Jennifer Garcia,65649917,NR,ENT-000928,matched
CP-000301,"Patton, Parsons and Lane",ES,,2017-03-05,Aaron Carlson,16982164,NR,ENT-000589,matched
CP-000905,Robertson-Jones BV,HK,,2014-01-04,Jeremy Riley,20571832,2A,,unmatched
CP-000383,"Martin, Rose and Obrien",LU,,2020-06-26,Dawn Parker,60073391,1B,ENT-000047,matched
CP-000569,Patton-Jenkins Corp,IE,,2016-05-30,Laura Velez,2428554,2A,ENT-000110,matched
CP-000431,Hudson-Sanchez Grp,IE,1A7Y00J8HQDE7M7H6O69,2016-04-19,Jennifer Parks,50471504,1A,ENT-000713,matched
CP-000099,"Zhang, Brooks and",SG,OB86007KBQNXPVMSR771,2017-02-08,Hannah Martin,28776458,1A,ENT-000648,matched
CP-000681,Peterson-Beard G.m.b.H.,CA,PKIA00NOUOF0ONJPI188,2015-07-05,Michael Carr,39136715,1A,ENT-000202,matched
CP-000868,Adams PLC,IT,,2012-06-22,Corey Cortez,45406327,2B,ENT-000844,ambiguous
CP-000792,Weaver-Sherman &,JP,,2011-02-02,Joshua Richardson,4530026,NR,ENT-000845,ambiguous
CP-000634,Reed Inc plc,CA,JAWO00778S6764CAQK23,2018-01-06,Debra Bradley,85486415,1B,ENT-000395,matched
CP-000093,"Craig, Wilson and Yang cap",NO,,2017-04-03,Corey Whitaker,432878,1B,ENT-000932,matched
CP-000665,"Hurst, Freeman and Nelson grp.",SG,4H3G00M1BWYE6QVS8A16,2015-11-28,Jamie James,87159278,NR,ENT-000166,matched
CP-000614,Hill Inc. & Partners,SG,861T00AA0I5LDSLCB868,2012-02-08,William Mason,52301134,2A,ENT-000155,matched
CP-000083,Gonzales-Harrison S.A.,IE,NRXD00356WAFFTOUHY50,2016-01-10,Alicia Roth,82471910,3A,ENT-000242,matched
CP-000572,Bruce-Villegas N.V.,SG,7I0700140K36FAOPRM60,2014-10-13,Hannah Montoya,74156415,3A,ENT-000381,matched
CP-000959,Cunningham-Oneill Group,BE,,2019-02-18,Karen Benson,94230876,2A,,unmatched
CP-000744,Byrd-Le Corp,CA,,2015-01-13,Kim Beltran,41729508,2A,ENT-000313,ambiguous
CP-000438,Strickland-Shaw G.m.b.H.,JP,ZMZ200K1KO6XNQXU7177,2010-03-14,Jacqueline Dickerson,61404217,1A,ENT-000460,matched
CP-000016,Hernandez Incorporated BV,SG,,2010-06-04,Shannon Yu,45302165,3A,ENT-000140,matched
CP-000731,Fox-Edwards AB,IE,,2022-09-13,Steven Flores,77703163,1A,ENT-000599,ambiguous
CP-000158,Edwards Grp NV,BE,,2021-11-17,Shawn Scott,75506370,NR,ENT-000834,matched
CP-000763,"Diaz, Gibbs",NO,,2013-05-27,Mr. Joel Peters,22436433,2B,ENT-000324,ambiguous
CP-000720,Turner-Sharp,SE,,2018-04-04,Paula Gentry,73280388,1B,ENT-000641,ambiguous
CP-000555,Rodriguez and Sons Grp,US,QVHZ00JKTHKG2N968K27,2011-01-17,Nicholas Franklin,76735017,NR,ENT-000796,matched
CP-000783,Short-Garcia,AT,,2011-03-02,Zachary Santiago,19306225,1B,ENT-000192,ambiguous
CP-000967,"Walker, Lopez and Prince SA",FR,,2017-08-09,Sandra Fox,3388014,2B,,unmatched
CP-000810,Mora-White,DE,,2011-09-17,Alexis Rodriguez,33868952,NR,ENT-000935,ambiguous
CP-000088,"Conner, Li and",SG,1SL700ZX4DE7NQWHOC64,2013-02-21,Chelsea Lewis,50685874,NR,ENT-000444,matched
CP-000639,"Marks, Miller and Griffin Corp.",AU,,2011-08-13,Corey Johnson,48175507,NR,ENT-000651,matched
CP-000454,Stewart Limited Group,US,,2018-06-19,Dr. Steve James,74081681,3A,ENT-000212,matched
CP-000622,"Le, Lewis and Hayes",DK,,2022-10-10,Joshua Clark,39002776,2A,ENT-000366,matched
CP-000552,Gibson-Freeman Hldgs,BE,UCLL00E4A2G76RWR3S59,2015-12-13,Zachary Ramos,20272609,1A,ENT-000865,matched
CP-000440,Johnson ltd. Group,NO,VAEV000YU3U8IZIIBC60,2011-10-25,Crystal Garcia,14881288,NR,ENT-000675,matched
CP-000012,Rivera Incorporated Group,BE,,2020-12-03,Thomas Harris,18209926,NR,ENT-000695,matched
CP-000236,Lopez LTD LLC,IE,QEGE005EKFHOE3MXZJ29,2016-06-16,Gregory Chambers,32991778,2B,ENT-000815,matched
CP-000592,"Lucas, Parker and Alexander Hldg",NL,JX6E00WXQPF0QPSVY794,2021-12-13,Andrew Meyers,11904569,3B,ENT-000315,matched
CP-000221,Nolan and Sons Grp,NO,C9RO00S7YT2M6TWD1X55,2011-11-08,Michelle Rodriguez,43339383,3B,ENT-000105,matched
CP-000851,Blair,NO,,2023-04-24,Benjamin Duncan,13943300,2A,ENT-000010,ambiguous
CP-000472,Morse P.L.C. Group,DK,P8RF004WON6FAWE3IA85,2021-01-27,Erika Alvarez,46815690,1B,ENT-000955,matched
CP-000395,Arnold and Sons,NO,,2017-04-09,Jessica Harris,12685191,1A,ENT-000233,matched
CP-000234,Chavez-Hall G.m.b.H.,DE,,2014-11-15,Michelle Walls,18449768,3B,ENT-000962,matched
CP-000053,"Farmer, Dorsey and Bell hldgs",BE,V8WO00BIRY8XNY2X1593,2017-02-20,Elizabeth Sanders,59152886,3B,ENT-000384,matched
CP-000205,"Morris, Wright and Bridges GRP",CH,L3VX004GH0Y3HKK54K76,2021-01-21,Robert West,50039933,3A,ENT-000860,matched
CP-000011,"Jacobson, Singleton and King Hldg",DE,,2011-06-27,Daniel Fox,81624118,2B,ENT-000544,matched
CP-000346,"Hale, Myers and Larson",NL,,2015-04-19,Christine Lopez,58141409,3A,ENT-000442,matched
CP-000646,Ramirez Grp NV,LU,XG2M00YR06NKWFG3MW83,2011-11-10,Logan Newton,85162950,NR,ENT-000198,matched
CP-000640,Baxter llc NV,HK,0J4900TO5A7QNAABMO96,2019-11-19,Alexis Nelson,71153310,3A,ENT-000878,matched
CP-000227,Carlson-Cruz sa,HK,,2010-09-28,Monica Anderson,29017053,1A,ENT-000031,matched
CP-000554,"Mullen, Brewer and Hernandez GRP",DK,0U4300QLX3F2XHDCV413,2014-08-29,Jacob Duran,87575155,NR,ENT-000416,matched
CP-000865,Smith PLC,AT,,2014-06-07,Connor Dominguez,84612148,2A,ENT-000618,ambiguous
CP-000874,"Marks,",AU,,2011-02-13,Judy Gregory,76285224,2A,ENT-000651,ambiguous
CP-000432,Mccarthy Inc. Group,BE,,2015-04-10,William Wolfe,71962479,3B,ENT-000158,matched
CP-000659,Mendoza grp. GmbH,HK,,2023-09-03,Kevin Marquez,3103234,NR,ENT-000647,matched
CP-000094,Hickman-Evans Plc,IT,2MK4008J4E3QABCE2E36,2014-09-03,Danielle Bryant,36484571,NR,ENT-000748,matched
CP-000689,"Norris, Callahan and Bishop Limited",HK,,2019-08-11,Ashley Blair,65438134,1B,ENT-000851,matched
CP-000288,Boone-Davis LTD,JP,DZQQ005EB9IDYREX9B62,2014-07-31,David Hughes,65025522,3B,ENT-000696,matched
CP-000217,Moore-Collins gmbh,SG,,2017-05-07,Amber Martin,71849735,2A,ENT-000389,matched
CP-000751,Sullivan,CH,,2023-02-27,Sonya Chavez,40831130,3B,ENT-000644,ambiguous
CP-000427,davis and sons corp,SG,,2023-07-24,William Prince PhD,96579271,NR,ENT-000003,matched
CP-000419,"Turner, Ortiz and Taylor Cap",NO,,2023-04-26,Debra Valentine,73912356,1B,ENT-000331,matched
CP-000570,Martinez Incorporated & Partners,IE,EMU900Q9VCMTGN9T8J81,2019-06-22,Elizabeth Cross,23552558,1B,ENT-000975,matched
CP-000532,Kelley-Anderson Cap.,DK,,2013-12-28,Lisa Morris,75394813,2B,ENT-000871,matched
CP-000588,Conner and Sons,IE,,2023-03-07,Michael Henderson,98817880,1A,ENT-000531,matched
CP-000728,"Evans,",DK,,2013-05-18,Linda Miller,72990938,1B,ENT-000084,ambiguous
CP-000204,"Alvarado, Miller and",BE,,2019-01-11,Jennifer Young,80128838,3A,ENT-000171,matched
